店名,地址,電話,營業時間,Google評價,菜單圖片,,,,
好好吃麵,106台灣台北市大安區和平東路二段118巷5號,0930 661 461,"['Monday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/52602548_440976320058145_962431295483281408_n.jpg?_nc_cat=107&ccb=2&_nc_sid=85a577&_nc_ohc=Few2TmBYijkAX9BEfsB&_nc_ht=scontent-tpe1-1.xx&oh=d2ac306b5653e6f4379b5cb62fa95ae0&oe=5FC415B7,,,,
格芮潘義式創意廚房,106台灣台北市大安區和平東路二段118巷5-1號,02 2736 0222,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Sunday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM']",3.6,https://picdn.gomaji.com/uploads/stores/626/108626/246243/01.S.png,,,,
卡帛素食烘培?義式廚房?港式餐點 總店,106台灣台北市大安區復興南路二段308巷5號,02 2733 6819,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 9:30 PM']",4.2,https://i0.wp.com/jingxuan.tw/wp-content/uploads/20180826184348_26.jpg,,,,
大拇指早餐店,106台灣台北市大安區和平東路二段116號,02 2735 1386,"['Monday: 6:00 – 11:30 AM', 'Tuesday: 6:00 – 11:30 AM', 'Wednesday: 6:00 – 11:30 AM', 'Thursday: 6:00 – 11:30 AM', 'Friday: 6:00 – 11:30 AM', 'Saturday: Closed', 'Sunday: Closed']",3.9,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/83085082_2530812567027335_1303776656011296768_o.jpg?_nc_cat=104&ccb=2&_nc_sid=8bfeb9&_nc_ohc=sSjVdnIFsXoAX-CBDpg&_nc_ht=scontent-tpe1-1.xx&oh=85eb3488c8ed10376db5be995aa661b5&oe=5FC558C5,,,,
山西刀削麵,106台灣台北市大安區和平東路二段118巷2號,02 2378 7890,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Saturday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM', 'Sunday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM']",3.8,https://cdn.walkerland.com.tw/images/upload/poi/p17874/m66948/bd527798c705bcbb65564fc79912e7d717f5bca0.jpg,,,,
靚咖哩,106台灣台北市大安區和平東路二段118巷2號,02 2732 2838,"['Monday: 11:00 AM – 2:30 PM, 4:30 – 8:30 PM', 'Tuesday: 11:00 AM – 2:30 PM, 4:30 – 8:30 PM', 'Wednesday: 11:00 AM – 2:30 PM, 4:30 – 8:30 PM', 'Thursday: 11:00 AM – 2:30 PM, 4:30 – 8:30 PM', 'Friday: 11:00 AM – 2:30 PM, 4:30 – 8:30 PM', 'Saturday: 11:00 AM – 2:00 PM', 'Sunday: Closed']",3.7,https://pic.pimg.tw/pjpj222/1479398068-1835334829_n.jpg,,,,
麵工坊義大利麵 大安店,106台灣台北市大安區和平東路二段118巷2弄1號1樓,02 2377 6186,"['Monday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM', 'Wednesday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM', 'Friday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM', 'Saturday: 11:30 AM – 3:00 PM, 5:30 – 8:30 PM', 'Sunday: 11:30 AM – 3:00 PM, 5:30 – 8:30 PM']",4,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/19983676_151381138765123_4572205656618014091_o.jpg?_nc_cat=101&ccb=2&_nc_sid=9267fe&_nc_ohc=GpbT2wMuRTcAX-AmNJ-&_nc_ht=scontent-tpe1-1.xx&oh=d0bc1309cdc385939a7253812100806d&oe=5FC2A761,,,,
發現義大利麵,106台灣台北市大安區和平東路二段118巷2之2號,02 8732 3723,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']",3.5,https://www.tony60533.com/wp-content/uploads/15-35.jpg,,,,
五福餃子館和平二號店,106台灣台北市大安區和平東路二段118巷4弄2號,,,3.8,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/18879890_1452986414745231_7774450938912696777_o.jpg?_nc_cat=107&ccb=2&_nc_sid=9267fe&_nc_ohc=LT6RJ5o_ugsAX8cIkcM&_nc_ht=scontent-tpe1-1.xx&oh=011ca18719672885a1b6e07c356e69a4&oe=5FC50C36,,,,
人間革命咖啡館 RevoCafe,106台灣台北市大安區和平東路二段118巷4-1號,02 2737 3437,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,https://pic.pimg.tw/six6plow/1565355766-2806066492_n.jpg,,,,
Ooh Cha Cha 自然食科技大樓 & Hooch,106台灣台北市大安區和平東路二段118巷4-1號,02 2737 2994,"['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 10:00 PM', 'Saturday: 10:00 AM – 10:00 PM', 'Sunday: 10:00 AM – 10:00 PM']",4.4,https://www.triplew.tw/wp-content/uploads/2020/02/Woo-Cha-Cha-menu-c-1024x727.jpg,https://www.triplew.tw/wp-content/uploads/2020/02/Woo-Cha-Cha-menu-d-1024x727.jpg,,,
貝倫烘焙餐坊 台北店,106台灣台北市大安區和平東路二段118巷37號,02 2732 3391,"['Monday: 8:00 AM – 9:00 PM', 'Tuesday: 8:00 AM – 9:00 PM', 'Wednesday: 8:00 AM – 9:00 PM', 'Thursday: 8:00 AM – 9:00 PM', 'Friday: 8:00 AM – 9:00 PM', 'Saturday: 8:00 AM – 9:00 PM', 'Sunday: 8:00 AM – 9:00 PM']",3.7,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/89961765_2728401133904313_5919117601413267456_n.jpg?_nc_cat=101&ccb=2&_nc_sid=730e14&_nc_ohc=1Obv3xlclJQAX_QjQha&_nc_ht=scontent-tpe1-1.xx&oh=60952a7c85e981b17e966bb765433ce1&oe=5FC384BF,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/90162828_2728401147237645_7502612455072202752_n.jpg?_nc_cat=103&ccb=2&_nc_sid=730e14&_nc_ohc=bnh8kN06UIcAX-_82uF&_nc_ht=scontent-tpe1-1.xx&oh=4e066cf9afb0bfa764626e4508a564b2&oe=5FC30A60,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/89845498_2728401203904306_5695653699997663232_n.jpg?_nc_cat=108&ccb=2&_nc_sid=730e14&_nc_ohc=0r-zONZwbgAAX99qT0P&_nc_ht=scontent-tpe1-1.xx&oh=df5e642a0bfd89d6afed588412a5ed49&oe=5FC54CFD,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/90399719_2728401213904305_4931237602498969600_n.jpg?_nc_cat=110&ccb=2&_nc_sid=730e14&_nc_ohc=4ktrGW20bfUAX82FwhN&_nc_ht=scontent-tpe1-1.xx&oh=825da2e1825121bd9ff4f36dda5af7b8&oe=5FC38C2F,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/89712866_2728401267237633_3462678551877124096_n.jpg?_nc_cat=110&ccb=2&_nc_sid=730e14&_nc_ohc=SA6bU9PxGNoAX98jfIu&_nc_ht=scontent-tpe1-1.xx&oh=0847e77ec57ce65e12e7328c3cf411f2&oe=5FC366D7
成都川菜小吃,106台灣台北市大安區和平東路二段118巷41號,02 2733 1143,"['Monday: 12:00 – 8:15 PM', 'Tuesday: 12:00 – 8:15 PM', 'Wednesday: 12:00 – 8:15 PM', 'Thursday: 12:00 – 8:15 PM', 'Friday: 12:00 – 8:15 PM', 'Saturday: 12:00 – 8:15 PM', 'Sunday: 12:00 – 8:15 PM']",3.7,https://pic.pimg.tw/eeooa0314/1576600522-3567183190.jpg,,,,
巧味快餐,106台灣台北市大安區和平東路二段118巷43號,02 2733 9930,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: Closed', 'Sunday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM']",4.1,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/40266596_330546571022503_3180162475093917696_n.jpg?_nc_cat=101&ccb=2&_nc_sid=0debeb&_nc_ohc=GAcIwLGz8yoAX-IDkqD&_nc_ht=scontent-tpe1-1.xx&oh=00cec580ead80417c2ed8c27257f2112&oe=5FC61E3A,,,,
大叔蔬食,106台灣台北市大安區和平東路二段118巷47號,02 2735 9274,,3.6,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-0/p180x540/18556733_1078241818946942_1927458720287037373_o.jpg?_nc_cat=105&ccb=2&_nc_sid=dd9801&_nc_ohc=V-mk29ZD3FgAX8hGVqe&_nc_ht=scontent-tpe1-1.xx&tp=6&oh=1dc0ba8d200be2d7bc11ce0a779851e5&oe=5FC5E452,,,,
搗飛豆花 Tofu Pudding,106台灣台北市大安區和平東路二段118巷47號,02 2735 4570,"['Monday: 12:00 – 10:30 PM', 'Tuesday: 12:00 – 10:30 PM', 'Wednesday: 12:00 – 10:30 PM', 'Thursday: 12:00 – 10:30 PM', 'Friday: 12:00 – 10:30 PM', 'Saturday: 12:00 – 10:30 PM', 'Sunday: 12:00 – 10:30 PM']",4.2,https://lh3.googleusercontent.com/p/AF1QipOXqClsQf49EN1_iuTqPF9LiQJjg9Bt3Sdkmgem=s768-p-no-v1,,,,
馬祖麵館,106台灣台北市大安區瑞安街155之3號,02 2755 7918,"['Monday: 9:30 AM – 9:30 PM', 'Tuesday: 9:00 AM – 9:30 PM', 'Wednesday: 9:30 AM – 9:30 PM', 'Thursday: 9:30 AM – 9:30 PM', 'Friday: 9:30 AM – 9:30 PM', 'Saturday: 9:30 AM – 9:30 PM', 'Sunday: 9:00 AM – 9:30 PM']",3.7,https://cdn.walkerland.com.tw/images/upload/poi/p50827/m45715/342fc8bff481d32b34c21d0c5a3ea1e35b9bb16f.jpg,,,,
台南周氏冰鎮滷味 台北大安店,106台灣台北市大安區大安路一段177號,02 2755 5288,"['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 10:00 PM', 'Saturday: 10:00 AM – 10:00 PM', 'Sunday: 10:00 AM – 10:00 PM']",4.3,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/p843x403/37633110_2001628983192301_5408075201097236480_o.jpg?_nc_cat=103&ccb=2&_nc_sid=0debeb&_nc_ohc=KgKTYaR6w58AX8ma0S8&_nc_ht=scontent-tpe1-1.xx&tp=6&oh=38d7d3032af2c7458aa861d173c0591d&oe=5FC4E23E,,,,
台南周氏冰鎮滷味(和平店),106台灣台北市大安區和平東路二段118巷53號,02 2733 2822,"['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 10:00 PM', 'Saturday: 10:00 AM – 10:00 PM', 'Sunday: 10:00 AM – 8:00 PM']",4.2,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/p843x403/37633110_2001628983192301_5408075201097236480_o.jpg?_nc_cat=103&ccb=2&_nc_sid=0debeb&_nc_ohc=KgKTYaR6w58AX8ma0S8&_nc_ht=scontent-tpe1-1.xx&tp=6&oh=38d7d3032af2c7458aa861d173c0591d&oe=5FC4E23E,,,,
3隻貓頭鷹文創,106台灣台北市大安區和平東路二段96巷15弄38號,02 2377 0995,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 9:30 PM', 'Sunday: 9:00 AM – 9:30 PM']",4.1,https://julie1798.com/wp-content/uploads/flickr/36674516742_1e5760bd15_c.jpg,https://julie1798.com/wp-content/uploads/flickr/36674516692_6ab5397c6d_c.jpg,,,
Stoppage Time 補時,106台灣台北市大安區和平東路二段96巷15弄30號,02 2736 6506,"['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 11:00 AM – 11:00 PM']",4.3,https://immian.com/wp-content/uploads/20160911140357_29.jpg,,,,
采味食光Give Happiness,106台灣台北市大安區和平東路二段118巷36號,02 2736 6256,"['Monday: 11:45 AM – 2:00 PM, 5:15 – 8:30 PM', 'Tuesday: 11:45 AM – 2:00 PM, 5:15 – 8:30 PM', 'Wednesday: 11:45 AM – 2:00 PM, 5:15 – 8:30 PM', 'Thursday: 11:45 AM – 2:00 PM, 5:15 – 8:30 PM', 'Friday: 11:45 AM – 2:00 PM, 5:15 – 8:30 PM', 'Saturday: 11:30 AM – 2:00 PM, 5:15 – 8:30 PM', 'Sunday: 11:30 AM – 2:00 PM, 5:15 – 8:30 PM']",4.3,https://farm8.staticflickr.com/7817/32506668447_a08c6e10c8_c.jpg,,,,
Oneway CAFE玩味咖啡,106台灣台北市大安區和平東路二段118巷38-1號,02 2736 1000,"['Monday: 9:30 AM – 10:00 PM', 'Tuesday: 9:30 AM – 10:00 PM', 'Wednesday: 9:30 AM – 10:00 PM', 'Thursday: 9:30 AM – 10:00 PM', 'Friday: 9:30 AM – 10:00 PM', 'Saturday: 9:30 AM – 10:00 PM', 'Sunday: 9:30 AM – 10:00 PM']",4.6,https://pic.gomaji.com/uploads/stores/452/83452/94796/21790-(2).jpg,,,,
